compound,salinity,group,replicate_number,day,methane_umoles
hexane,fresh,treatment,3,312,19
hexane,saline,sterile,1,312,NA
hexane,saline,sterile,2,312,NA
hexane,saline,sterile,3,312,NA
hexane,saline,treatment,1,312,40.4
hexane,saline,treatment,2,312,10.4
hexane,saline,treatment,3,312,36.3
toluene,brackish,sterile,1,312,NA
toluene,brackish,sterile,2,312,NA
toluene,brackish,sterile,3,312,NA
toluene,brackish,treatment,1,312,114.5
toluene,brackish,treatment,2,312,123.3
toluene,brackish,treatment,3,312,24.6
toluene,fresh,sterile,1,312,NA
toluene,fresh,sterile,2,312,NA
toluene,fresh,sterile,3,312,NA
toluene,fresh,treatment,1,312,50.4
toluene,fresh,treatment,2,312,45
toluene,fresh,treatment,3,312,14.3
toluene,saline,sterile,1,312,NA
toluene,saline,sterile,2,312,NA
toluene,saline,sterile,3,312,NA
toluene,saline,treatment,1,312,49.3
toluene,saline,treatment,2,312,52.3
toluene,saline,treatment,3,312,51.3
unamended,brackish,media_only,1,312,NA
unamended,brackish,media_only,2,312,NA
unamended,brackish,media_only,3,312,NA
unamended,brackish,unamended,1,312,22.8
unamended,brackish,unamended,2,312,45.1
unamended,brackish,unamended,3,312,20
unamended,fresh,media_only,1,312,NA
unamended,fresh,media_only,2,312,NA
unamended,fresh,media_only,3,312,NA
unamended,fresh,unamended,1,312,67.8
unamended,fresh,unamended,2,312,NA
unamended,fresh,unamended,3,312,103.6
unamended,saline,media_only,1,312,NA
unamended,saline,media_only,2,312,NA
unamended,saline,media_only,3,312,NA
unamended,saline,unamended,1,312,6.2
unamended,saline,unamended,2,312,33.7
unamended,saline,unamended,3,312,23.1
benzene,brackish,sterile,1,358,NA
benzene,brackish,sterile,2,358,NA
benzene,brackish,sterile,3,358,NA
benzene,brackish,treatment,1,358,108.9
benzene,brackish,treatment,2,358,112.4
benzene,brackish,treatment,3,358,103.4
benzene,fresh,sterile,1,358,NA
benzene,fresh,sterile,2,358,NA
benzene,fresh,sterile,3,358,NA
benzene,fresh,treatment,1,358,NA
benzene,fresh,treatment,2,358,23.2
benzene,fresh,treatment,3,358,61.8
benzene,saline,sterile,1,358,NA
benzene,saline,sterile,2,358,NA
benzene,saline,sterile,3,358,NA
benzene,saline,treatment,1,358,6.5
benzene,saline,treatment,2,358,10.1
benzene,saline,treatment,3,358,9.2
hexane,brackish,sterile,1,358,NA
hexane,brackish,sterile,2,358,NA
hexane,brackish,sterile,3,358,NA
hexane,brackish,treatment,1,358,112.6
hexane,brackish,treatment,2,358,128.9
hexane,brackish,treatment,3,358,140
hexane,fresh,sterile,1,358,NA
hexane,fresh,sterile,2,358,NA
hexane,fresh,sterile,3,358,NA
hexane,fresh,treatment,1,358,18.9
hexane,fresh,treatment,2,358,110
hexane,fresh,treatment,3,358,18.6
hexane,saline,sterile,1,358,NA
hexane,saline,sterile,2,358,NA
hexane,saline,sterile,3,358,NA
hexane,saline,treatment,1,358,39.7
hexane,saline,treatment,2,358,9.9
hexane,saline,treatment,3,358,40
toluene,brackish,sterile,1,358,NA
toluene,brackish,sterile,2,358,NA
toluene,brackish,sterile,3,358,NA
toluene,brackish,treatment,1,358,130.7
toluene,brackish,treatment,2,358,132.9
toluene,brackish,treatment,3,358,25.2
toluene,fresh,sterile,1,358,NA
toluene,fresh,sterile,2,358,NA
toluene,fresh,sterile,3,358,NA
toluene,fresh,treatment,1,358,50.1
toluene,fresh,treatment,2,358,51.6
toluene,fresh,treatment,3,358,13.3
toluene,saline,sterile,1,358,NA
toluene,saline,sterile,2,358,NA
toluene,saline,sterile,3,358,NA
toluene,saline,treatment,1,358,56.9
toluene,saline,treatment,2,358,52.4
toluene,saline,treatment,3,358,51.7
unamended,brackish,media_only,1,358,NA
unamended,brackish,media_only,2,358,NA
unamended,brackish,media_only,3,358,NA
unamended,brackish,unamended,1,358,24.5
unamended,brackish,unamended,2,358,46.4
unamended,brackish,unamended,3,358,24.4
unamended,fresh,media_only,1,358,NA
unamended,fresh,media_only,2,358,NA
unamended,fresh,media_only,3,358,NA
unamended,fresh,unamended,1,358,63.8
unamended,fresh,unamended,2,358,NA
unamended,fresh,unamended,3,358,116.9
unamended,saline,media_only,1,358,NA
unamended,saline,media_only,2,358,NA
unamended,saline,media_only,3,358,NA
unamended,saline,unamended,1,358,5.7
unamended,saline,unamended,2,358,35
unamended,saline,unamended,3,358,22.9
benzene,brackish,sterile,1,387,NA
benzene,brackish,sterile,2,387,NA
benzene,brackish,sterile,3,387,NA
benzene,brackish,treatment,1,387,117.2
benzene,brackish,treatment,2,387,123.9
benzene,brackish,treatment,3,387,116.2
benzene,fresh,sterile,1,387,NA
benzene,fresh,sterile,2,387,NA
benzene,fresh,sterile,3,387,NA
benzene,fresh,treatment,1,387,NA
benzene,fresh,treatment,2,387,22.7
benzene,fresh,treatment,3,387,72
benzene,saline,sterile,1,387,NA
benzene,saline,sterile,2,387,NA
benzene,saline,sterile,3,387,NA
benzene,saline,treatment,1,387,6
benzene,saline,treatment,2,387,10.5
benzene,saline,treatment,3,387,9.4
hexane,brackish,sterile,1,387,NA
hexane,brackish,sterile,2,387,NA
hexane,brackish,sterile,3,387,NA
hexane,brackish,treatment,1,387,125.3
hexane,brackish,treatment,2,387,140.7
hexane,brackish,treatment,3,387,148.6
hexane,fresh,sterile,1,387,NA
hexane,fresh,sterile,2,387,NA
hexane,fresh,sterile,3,387,NA
hexane,fresh,treatment,1,387,19.2
hexane,fresh,treatment,2,387,117.6
hexane,fresh,treatment,3,387,18.3
hexane,saline,sterile,1,387,NA
hexane,saline,sterile,2,387,NA
hexane,saline,sterile,3,387,NA
hexane,saline,treatment,1,387,43.2
hexane,saline,treatment,2,387,10
hexane,saline,treatment,3,387,44.4
toluene,brackish,sterile,1,387,NA
toluene,brackish,sterile,2,387,NA
toluene,brackish,sterile,3,387,NA
toluene,brackish,treatment,1,387,146.9
toluene,brackish,treatment,2,387,141.5
toluene,brackish,treatment,3,387,25.8
toluene,fresh,sterile,1,387,NA
toluene,fresh,sterile,2,387,NA
toluene,fresh,sterile,3,387,NA
toluene,fresh,treatment,1,387,54.3
toluene,fresh,treatment,2,387,54.9
toluene,fresh,treatment,3,387,13.2
toluene,saline,sterile,1,387,NA
toluene,saline,sterile,2,387,NA
toluene,saline,sterile,3,387,NA
toluene,saline,treatment,1,387,42.6
toluene,saline,treatment,2,387,59.8
toluene,saline,treatment,3,387,60.5
unamended,brackish,media_only,1,387,NA
unamended,brackish,media_only,2,387,NA
unamended,brackish,media_only,3,387,NA
unamended,brackish,unamended,1,387,22.8
unamended,brackish,unamended,2,387,47.6
unamended,brackish,unamended,3,387,27.2
unamended,fresh,media_only,1,387,NA
unamended,fresh,media_only,2,387,NA
unamended,fresh,media_only,3,387,NA
unamended,fresh,unamended,1,387,65.5
unamended,fresh,unamended,2,387,NA
unamended,fresh,unamended,3,387,130.2
unamended,saline,media_only,1,387,NA
unamended,saline,media_only,2,387,NA
unamended,saline,media_only,3,387,NA
unamended,saline,unamended,1,387,5
unamended,saline,unamended,2,387,35.1
unamended,saline,unamended,3,387,24
benzene,brackish,sterile,1,425,NA
benzene,brackish,sterile,2,425,NA
benzene,brackish,sterile,3,425,NA
benzene,brackish,treatment,1,425,131.6
benzene,brackish,treatment,2,425,134.2
benzene,brackish,treatment,3,425,124.9
benzene,fresh,sterile,1,425,NA
benzene,fresh,sterile,2,425,NA
benzene,fresh,sterile,3,425,NA
benzene,fresh,treatment,1,425,NA
benzene,fresh,treatment,2,425,23.1
benzene,fresh,treatment,3,425,79.1
benzene,saline,sterile,1,425,NA
benzene,saline,sterile,2,425,NA
benzene,saline,sterile,3,425,NA
benzene,saline,treatment,1,425,5.1
benzene,saline,treatment,2,425,11
benzene,saline,treatment,3,425,9.1
hexane,brackish,sterile,1,425,NA
hexane,brackish,sterile,2,425,NA
hexane,brackish,sterile,3,425,NA
hexane,brackish,treatment,1,425,137.8
hexane,brackish,treatment,2,425,156.3
hexane,brackish,treatment,3,425,164.2
hexane,fresh,sterile,1,425,NA
hexane,fresh,sterile,2,425,NA
hexane,fresh,sterile,3,425,NA
hexane,fresh,treatment,1,425,18.8
hexane,fresh,treatment,2,425,130.5
hexane,fresh,treatment,3,425,18.6
hexane,saline,sterile,1,425,NA
hexane,saline,sterile,2,425,NA
hexane,saline,sterile,3,425,NA
hexane,saline,treatment,1,425,45.9
hexane,saline,treatment,2,425,9.4
hexane,saline,treatment,3,425,47.6
toluene,brackish,sterile,1,425,NA
toluene,brackish,sterile,2,425,NA
toluene,brackish,sterile,3,425,NA
toluene,brackish,treatment,1,425,155.4
toluene,brackish,treatment,2,425,159.2
toluene,brackish,treatment,3,425,26.4
toluene,fresh,sterile,1,425,NA
toluene,fresh,sterile,2,425,NA
toluene,fresh,sterile,3,425,NA
toluene,fresh,treatment,1,425,59.8
toluene,fresh,treatment,2,425,61.4
toluene,fresh,treatment,3,425,13.2
toluene,saline,sterile,1,425,NA
toluene,saline,sterile,2,425,NA
toluene,saline,sterile,3,425,NA
toluene,saline,treatment,1,425,59.5
toluene,saline,treatment,2,425,73.7
toluene,saline,treatment,3,425,74.3
unamended,brackish,media_only,1,425,NA
unamended,brackish,media_only,2,425,NA
unamended,brackish,media_only,3,425,NA
unamended,brackish,unamended,1,425,26.1
unamended,brackish,unamended,2,425,47.8
unamended,brackish,unamended,3,425,31.4
unamended,fresh,media_only,1,425,NA
unamended,fresh,media_only,2,425,NA
unamended,fresh,media_only,3,425,NA
unamended,fresh,unamended,1,425,68.2
unamended,fresh,unamended,2,425,NA
unamended,fresh,unamended,3,425,143.5
unamended,saline,media_only,1,425,NA
unamended,saline,media_only,2,425,NA
unamended,saline,media_only,3,425,NA
unamended,saline,unamended,1,425,4.9
unamended,saline,unamended,2,425,42.3
unamended,saline,unamended,3,425,25.8
benzene,brackish,sterile,1,466,NA
benzene,brackish,sterile,2,466,NA
benzene,brackish,sterile,3,466,NA
benzene,brackish,treatment,1,466,146.9
benzene,brackish,treatment,2,466,141
benzene,brackish,treatment,3,466,132.8
benzene,fresh,sterile,1,466,NA
benzene,fresh,sterile,2,466,NA
benzene,fresh,sterile,3,466,NA
benzene,fresh,treatment,1,466,NA
benzene,fresh,treatment,2,466,25
benzene,fresh,treatment,3,466,80
benzene,saline,sterile,1,466,NA
benzene,saline,sterile,2,466,NA
benzene,saline,sterile,3,466,NA
benzene,saline,treatment,1,466,8
benzene,saline,treatment,2,466,13.7
benzene,saline,treatment,3,466,11.6
hexane,brackish,sterile,1,466,NA
hexane,brackish,sterile,2,466,NA
hexane,brackish,sterile,3,466,NA
hexane,brackish,treatment,1,466,149.8
hexane,brackish,treatment,2,466,168.1
hexane,brackish,treatment,3,466,171.1
hexane,fresh,sterile,1,466,NA
hexane,fresh,sterile,2,466,NA
hexane,fresh,sterile,3,466,NA
hexane,fresh,treatment,1,466,20.2
hexane,fresh,treatment,2,466,136.8
hexane,fresh,treatment,3,466,20.1
hexane,saline,sterile,1,466,NA
hexane,saline,sterile,2,466,NA
hexane,saline,sterile,3,466,NA
hexane,saline,treatment,1,466,51.5
hexane,saline,treatment,2,466,11.7
hexane,saline,treatment,3,466,50.9
toluene,brackish,sterile,1,466,NA
toluene,brackish,sterile,2,466,NA
toluene,brackish,sterile,3,466,NA
toluene,brackish,treatment,1,466,166
toluene,brackish,treatment,2,466,165.4
toluene,brackish,treatment,3,466,29.8
toluene,fresh,sterile,1,466,NA
toluene,fresh,sterile,2,466,NA
toluene,fresh,sterile,3,466,NA
toluene,fresh,treatment,1,466,64
toluene,fresh,treatment,2,466,63.8
toluene,fresh,treatment,3,466,15.3
toluene,saline,sterile,1,466,NA
toluene,saline,sterile,2,466,NA
toluene,saline,sterile,3,466,NA
toluene,saline,treatment,1,466,76.5
toluene,saline,treatment,2,466,87.5
toluene,saline,treatment,3,466,88
unamended,brackish,media_only,1,466,NA
unamended,brackish,media_only,2,466,NA
unamended,brackish,media_only,3,466,NA
unamended,brackish,unamended,1,466,27.2
unamended,brackish,unamended,2,466,50
unamended,brackish,unamended,3,466,35.8
unamended,fresh,media_only,1,466,NA
unamended,fresh,media_only,2,466,NA
unamended,fresh,media_only,3,466,NA
unamended,fresh,unamended,1,466,72.5
unamended,fresh,unamended,2,466,NA
unamended,fresh,unamended,3,466,157.9
unamended,saline,media_only,1,466,NA
unamended,saline,media_only,2,466,NA
unamended,saline,media_only,3,466,NA
unamended,saline,unamended,1,466,7.1
unamended,saline,unamended,2,466,45
unamended,saline,unamended,3,466,27.2
benzene,brackish,sterile,1,499,NA
benzene,brackish,sterile,2,499,NA
benzene,brackish,sterile,3,499,NA
benzene,brackish,treatment,1,499,147.4
benzene,brackish,treatment,2,499,139.4
benzene,brackish,treatment,3,499,130.4
benzene,fresh,sterile,1,499,NA
benzene,fresh,sterile,2,499,NA
benzene,fresh,sterile,3,499,NA
benzene,fresh,treatment,1,499,NA
benzene,fresh,treatment,2,499,25.2
benzene,fresh,treatment,3,499,86.6
benzene,saline,sterile,1,499,NA
benzene,saline,sterile,2,499,NA
benzene,saline,sterile,3,499,NA
benzene,saline,treatment,1,499,9
benzene,saline,treatment,2,499,15.8
benzene,saline,treatment,3,499,12.8
hexane,brackish,sterile,1,499,NA
hexane,brackish,sterile,2,499,NA
hexane,brackish,sterile,3,499,NA
hexane,brackish,treatment,1,499,149
hexane,brackish,treatment,2,499,171.6
hexane,brackish,treatment,3,499,178.4
hexane,fresh,sterile,1,499,NA
hexane,fresh,sterile,2,499,NA
hexane,fresh,sterile,3,499,NA
hexane,fresh,treatment,1,499,21.6
hexane,fresh,treatment,2,499,137.8
hexane,fresh,treatment,3,499,21.7
hexane,saline,sterile,1,499,NA
hexane,saline,sterile,2,499,NA
hexane,saline,sterile,3,499,NA
hexane,saline,treatment,1,499,54.3
hexane,saline,treatment,2,499,12.8
hexane,saline,treatment,3,499,55.3
toluene,brackish,sterile,1,499,NA
toluene,brackish,sterile,2,499,NA
toluene,brackish,sterile,3,499,NA
toluene,brackish,treatment,1,499,182
toluene,brackish,treatment,2,499,179.8
toluene,brackish,treatment,3,499,33
toluene,fresh,sterile,1,499,NA
toluene,fresh,sterile,2,499,NA
toluene,fresh,sterile,3,499,NA
toluene,fresh,treatment,1,499,68.1
toluene,fresh,treatment,2,499,66.1
toluene,fresh,treatment,3,499,16.4
toluene,saline,sterile,1,499,NA
toluene,saline,sterile,2,499,NA
toluene,saline,sterile,3,499,NA
toluene,saline,treatment,1,499,110.4
toluene,saline,treatment,2,499,98
toluene,saline,treatment,3,499,105.3
unamended,brackish,media_only,1,499,NA
unamended,brackish,media_only,2,499,NA
unamended,brackish,media_only,3,499,NA
unamended,brackish,unamended,1,499,31.8
unamended,brackish,unamended,2,499,52.1
unamended,brackish,unamended,3,499,37.1
unamended,fresh,media_only,1,499,NA
unamended,fresh,media_only,2,499,NA
unamended,fresh,media_only,3,499,NA
unamended,fresh,unamended,1,499,74.1
unamended,fresh,unamended,2,499,NA
unamended,fresh,unamended,3,499,163.2
unamended,saline,media_only,1,499,NA
unamended,saline,media_only,2,499,NA
unamended,saline,media_only,3,499,NA
unamended,saline,unamended,1,499,9.3
unamended,saline,unamended,2,499,50.8
unamended,saline,unamended,3,499,28.6
benzene,brackish,sterile,1,555,NA
benzene,brackish,sterile,2,555,NA
benzene,brackish,sterile,3,555,NA
benzene,brackish,treatment,1,555,171
benzene,brackish,treatment,2,555,157.5
benzene,brackish,treatment,3,555,152.2
benzene,fresh,sterile,1,555,NA
benzene,fresh,sterile,2,555,NA
benzene,fresh,sterile,3,555,NA
benzene,fresh,treatment,1,555,NA
benzene,fresh,treatment,2,555,23.2
benzene,fresh,treatment,3,555,78.4
benzene,saline,sterile,1,555,NA
benzene,saline,sterile,2,555,NA
benzene,saline,sterile,3,555,NA
benzene,saline,treatment,1,555,5.9
benzene,saline,treatment,2,555,14.1
benzene,saline,treatment,3,555,10
hexane,brackish,sterile,1,555,NA
hexane,brackish,sterile,2,555,NA
hexane,brackish,sterile,3,555,NA
hexane,brackish,treatment,1,555,175.6
hexane,brackish,treatment,2,555,197
hexane,brackish,treatment,3,555,186.9
hexane,fresh,sterile,1,555,NA
hexane,fresh,sterile,2,555,NA
hexane,fresh,sterile,3,555,NA
hexane,fresh,treatment,1,555,19.8
hexane,fresh,treatment,2,555,164.1
hexane,fresh,treatment,3,555,20.6
hexane,saline,sterile,1,555,NA
hexane,saline,sterile,2,555,NA
hexane,saline,sterile,3,555,NA
hexane,saline,treatment,1,555,59.2
hexane,saline,treatment,2,555,9.5
hexane,saline,treatment,3,555,73.3
toluene,brackish,sterile,1,555,NA
toluene,brackish,sterile,2,555,NA
toluene,brackish,sterile,3,555,NA
toluene,brackish,treatment,1,555,197.8
toluene,brackish,treatment,2,555,166.4
toluene,brackish,treatment,3,555,33.6
toluene,fresh,sterile,1,555,NA
toluene,fresh,sterile,2,555,NA
toluene,fresh,sterile,3,555,NA
toluene,fresh,treatment,1,555,69
toluene,fresh,treatment,2,555,69.3
toluene,fresh,treatment,3,555,13.4
toluene,saline,sterile,1,555,NA
toluene,saline,sterile,2,555,NA
toluene,saline,sterile,3,555,NA
toluene,saline,treatment,1,555,134.3
toluene,saline,treatment,2,555,124.5
toluene,saline,treatment,3,555,145.6
unamended,brackish,media_only,1,555,NA
unamended,brackish,media_only,2,555,NA
unamended,brackish,media_only,3,555,NA
unamended,brackish,unamended,1,555,35.5
unamended,brackish,unamended,2,555,54.2
unamended,brackish,unamended,3,555,42.9
unamended,fresh,media_only,1,555,NA
unamended,fresh,media_only,2,555,NA
unamended,fresh,media_only,3,555,NA
unamended,fresh,unamended,1,555,82.6
unamended,fresh,unamended,2,555,NA
unamended,fresh,unamended,3,555,188.3
unamended,saline,media_only,1,555,NA
unamended,saline,media_only,2,555,NA
unamended,saline,media_only,3,555,NA
unamended,saline,unamended,1,555,6.5
unamended,saline,unamended,2,555,66.4
unamended,saline,unamended,3,555,26.6
