ID,No.,sex,day,Season,Time ,MP,ABS,ORD,Weight,AC,Age,Rep,Lact,Obs,Mother,Father,Ecto,Num,fleas,nits,SM,other,Total,Endo,NUM,Gram,eim,EIM,str,STR,asc,ASC,Comm
E943,0,2,172,2015,1343,A,88,102,110,1,0,NA,NA,TB,D700,D642,NA,NA,NA,NA,NA,NA,NA,BAB,4,0.04,429,10725,0,0,0,0,NA
E944,1,1,169,2015,1615,A,47,89,120,1,0,NA,NA,TB,D704,D642,Bab,0,2,0,3,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E945,1,1,169,2015,1615,A,47,89,115,1,0,NA,NA,TB,D704,D642,Bab,0,1,0,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E945,0,1,173,2015,1615,A,47,89,115,1,0,NA,NA,TB,D704,D642,NA,NA,NA,NA,NA,NA,NA,BAB,5,0.06,222,3700,21,350,0,0,NA
E946,1,1,169,2015,1615,A,47,89,110,1,0,NA,NA,TB,D704,D361,Bab,0,2,0,10,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E946,0,1,172,2015,1615,A,47,89,110,1,0,NA,NA,TB,D704,D361,NA,NA,NA,NA,NA,NA,NA,BAB,3,0.06,238,3967,0,0,0,0,NA
E947,1,2,169,2015,1700,A,58,63,150,1,0,NA,NA,TB,D646,D642,Bab,0,0,0,3,0,3,BAB,0,0.04,2328,58200,0,0,0,0,NA
E948,1,2,169,2015,1700,A,58,63,140,1,0,NA,NA,TB,D646,D642,Bab,0,1,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E948,0,2,172,2015,1700,A,58,63,140,1,0,NA,NA,TB,D646,D642,NA,NA,NA,NA,NA,NA,NA,BAB,3,0.04,40,1000,0,0,0,0,NA
E949,1,2,172,2015,1220,A,146,120,90,1,0,NA,NA,TH,E234,A396,Bab,1,10,0,0,0,10,BAB,1,0.01,795,79500,0,0,0,0,NA
E950,1,1,172,2015,1220,A,146,120,90,1,0,NA,NA,TH,E234,D155,Bab,1,34,0,0,0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E951,1,1,163,2015,1600,A,134,31,100,1,0,NA,NA,TH,D141,D155,Bab,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E951,0,1,166,2015,1600,A,134,31,100,1,0,NA,NA,TH,D141,D155,NA,NA,NA,NA,NA,NA,NA,BAB,3,0.1,0,0,0,0,0,0,NA
E952,1,1,163,2015,1600,A,134,31,110,1,0,NA,NA,TH,D141,D155,Bab,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E952,0,1,166,2015,1600,A,134,31,110,1,0,NA,NA,TH,D141,D155,NA,NA,NA,NA,NA,NA,NA,BAB,3,0.06,0,0,0,0,0,0,NA
E953,1,1,163,2015,1600,A,134,31,105,1,0,NA,NA,TH,D141,D155,Bab,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E953,0,1,166,2015,1600,A,134,31,105,1,0,NA,NA,TH,D141,D155,NA,NA,NA,NA,NA,NA,NA,BAB,3,0.03,0,0,0,0,0,0,NA
E954,1,1,164,2015,1000,A,134,31,120,1,0,NA,NA,TH,D141,D155,Bab,1,3,0,5,0,8,BAB,1,0.01,0,0,0,0,0,0,NA
E955,1,1,164,2015,1150,A,71,31,110,1,0,NA,NA,TH,E246,D361,Bab,0,30,10,9,0,39,BAB,0,0.02,0,0,0,0,0,0,NA
E955,0,1,166,2015,1150,A,71,31,110,1,0,NA,NA,TH,E246,D361,NA,NA,NA,NA,NA,NA,NA,BAB,2,0.04,0,0,0,0,0,0,NA
E956,1,1,164,2015,1150,A,71,31,105,1,0,NA,NA,TH,E246,D361,Bab,0,15,20,17,0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E956,0,1,165,2015,1150,A,71,31,105,1,0,NA,NA,TH,E246,D361,NA,NA,NA,NA,NA,NA,NA,BAB,1,0.08,5,63,0,0,0,0,NA
E957,1,1,164,2015,1235,A,94,45,95,1,0,NA,NA,TH,E219,D361,Bab,0,8,12,5,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E957,0,1,167,2015,1235,A,94,45,95,1,0,NA,NA,TH,E219,D361,NA,NA,NA,NA,NA,NA,NA,BAB,3,0.12,9,75,0,0,0,0,NA
E958,1,2,164,2015,1235,A,94,45,80,1,0,NA,NA,TH,E219,D642,Bab,0,42,0,7,0,49,BAB,0,0.01,0,0,0,0,0,0,NA
E959,1,2,164,2015,1235,A,94,45,75,1,0,NA,NA,TH,E219,D361,Bab,0,17,0,5,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E959,0,2,167,2015,1235,A,94,45,75,1,0,NA,NA,TH,E219,D361,NA,NA,NA,NA,NA,NA,NA,BAB,3,0.04,0,0,0,0,1,25,NA
E960,1,2,164,2015,1427,A,165,22,95,1,0,NA,NA,TH,E242,D155,Bab,0,33,0,0,0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E960,0,2,167,2015,1427,A,165,22,95,1,0,NA,NA,TH,E242,D155,NA,NA,NA,NA,NA,NA,NA,BAB,3,0.06,9312,155200,0,0,0,0,NA
E961,1,1,164,2015,1427,A,165,22,100,1,0,NA,NA,TH,E242,D155,Bab,0,67,0,0,0,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E961,0,1,167,2015,1427,A,165,22,100,1,0,NA,NA,TH,E242,D155,NA,NA,NA,NA,NA,NA,NA,BAB,3,0.02,1310,65500,0,0,0,0,NA
E962,1,2,164,2015,1427,A,165,22,100,1,0,NA,NA,TH,E242,D155,Bab,0,0,15,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E962,0,2,167,2015,1427,A,165,22,100,1,0,NA,NA,TH,E242,D155,NA,NA,NA,NA,NA,NA,NA,BAB,3,0.12,393,3275,0,0,0,0,NA
E963,1,2,164,2015,1427,A,165,22,100,1,0,NA,NA,TH,E242,D155,Bab,0,51,0,1,0,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E963,0,2,167,2015,1427,A,165,22,100,1,0,NA,NA,TH,E242,D155,NA,NA,NA,NA,NA,NA,NA,BAB,3,0.04,447,11175,0,0,0,0,NA
E964,1,2,164,2015,1515,A,217,38,120,1,0,NA,NA,TH,D321,D381,Bab,0,8,0,2,0,10,BAB,0,0.03,2094,69800,0,0,0,0,NA
E965,1,2,164,2015,1515,A,217,38,115,1,0,NA,NA,TH,D321,D381,Bab,0,8,0,5,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E966,1,2,164,2015,1515,A,217,38,115,1,0,NA,NA,TH,D321,D381,Bab,0,13,0,15,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E966,0,2,167,2015,1515,A,217,38,115,1,0,NA,NA,TH,D321,D381,NA,NA,NA,NA,NA,NA,NA,BAB,3,0.14,3540,25286,0,0,0,0,NA
E967,1,2,166,2015,1730,A,50,1,100,1,0,NA,NA,TH,E245,D642,Bab,0,0,1,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E967,0,2,167,2015,1730,A,50,1,100,1,0,NA,NA,TH,E245,D642,NA,NA,NA,NA,NA,NA,NA,BAB,1,0.08,188,2350,0,0,0,0,NA
E968,1,1,166,2015,1730,A,50,1,100,1,0,NA,NA,TH,E245,D642,Bab,0,0,0,5,0,5,BAB,0,0.02,0,0,0,0,0,0,NA
E969,1,2,167,2015,1730,A,50,1,100,1,0,NA,NA,TH,E245,D642,Bab,0,0,3,8,0,8,BAB,1,0.04,0,0,0,0,0,0,NA
E970,1,2,167,2015,1336,A,199,123,100,1,0,NA,NA,TH,D144,D694,Bab,0,26,0,6,0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E970,0,2,169,2015,1336,A,199,123,100,1,0,NA,NA,TH,D144,D694,NA,NA,NA,NA,NA,NA,NA,BAB,3,0.12,61920,516000,0,0,0,0,NA
E971,1,1,167,2015,1659,A,228,34,105,1,0,NA,NA,TH,E254,D381,Bab,0,0,0,5,0,5,BAB,0,0.04,3240,81000,0,0,0,0,NA
E972,1,1,167,2015,1659,A,228,34,115,1,0,NA,NA,TH,E254,D381,Bab,0,20,4,6,0,26,BAB,0,0.02,2496,124800,0,0,0,0,NA
E973,1,2,167,2015,1336,A,199,123,100,1,0,NA,NA,TH,D144,C290,Bab,0,0,0,17,0,17,BAB,1,0.03,19728,657600,0,0,0,0,NA
E974,1,2,167,2015,1336,A,199,123,100,1,0,NA,NA,TH,D144,C290,Bab,0,9,0,7,0,16,BAB,1,0.03,4365,145500,0,0,0,0,NA
E975,1,1,167,2015,1336,A,199,123,100,1,0,NA,NA,TH,D144,D694,Bab,0,4,0,0,0,4,BAB,1,0.02,7128,356400,0,0,0,0,NA
E976,1,2,168,2015,1703,A,224,124,100,1,0,NA,NA,TH,E266,D381,Bab,0,21,0,5,0,26,BAB,0,0.02,0,0,0,0,0,0,NA
E977,1,1,168,2015,1703,A,224,124,95,1,0,NA,NA,TH,E266,D381,Bab,0,17,0,0,0,17,BAB,0,0.03,24,800,0,0,0,0,NA
E978,1,2,168,2015,1703,A,224,124,95,1,0,NA,NA,TH,E266,D381,Bab,0,5,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E978,0,2,169,2015,1703,A,224,124,95,1,0,NA,NA,TH,E266,D381,NA,NA,NA,NA,NA,NA,NA,BAB,1,0.01,0,0,0,0,0,0,NA
E979,1,2,169,2015,1456,A,198,94,115,1,0,NA,NA,TH,E213,D381,Bab,1,7,0,0,0,7,BAB,1,0.04,5160,129000,0,0,0,0,NA
E980,1,1,170,2015,1506,A,207,121,125,1,0,NA,NA,TH,D671,D694,Bab,2,0,0,8,0,8,BAB,2,0.04,0,0,0,0,0,0,NA
E981,1,2,172,2015,1220,A,146,120,90,1,0,NA,NA,TH,E234,D155,Bab,1,11,0,0,0,11,BAB,1,0.04,21,525,0,0,0,0,NA
E982,1,1,172,2015,1246,A,229,67,150,1,0,NA,NA,TH,E249,D381,Bab,5,1,0,0,0,1,BAB2,5,0.08,0,0,0,0,0,0,NA
E983,1,1,172,2015,1451,A,159,105,130,1,0,NA,NA,TB,D142,D694,Bab,1,13,0,9,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E983,0,1,174,2015,1451,A,159,105,130,1,0,NA,NA,TB,D142,D694,NA,NA,NA,NA,NA,NA,NA,BAB,3,0.04,1,25,0,0,0,0,NA
E984,1,2,172,2015,1451,A,159,105,135,1,0,NA,NA,TB,D142,E706,Bab,1,10,0,1,0,11,BAB,1,0.06,260,4333,0,0,0,0,NA
E985,1,1,174,2015,1658,A,65,111,140,1,0,NA,NA,TB,D136,E325,Bab,1,0,0,2,0,2,BAB,1,0.22,0,0,0,0,0,0,NA
E986,1,1,174,2015,1658,A,65,111,120,1,0,NA,NA,TB,D136,E703,Bab,1,0,0,7,0,7,BAB,1,0.05,3,60,0,0,0,0,NA
E987,1,1,174,2015,1658,A,65,111,145,1,0,NA,NA,TB,D136,D642,Bab,1,0,0,1,0,1,BAB,1,0.26,7416,28523,0,0,0,0,NA
E988,1,2,174,2015,1715,A,126,23,190,1,0,NA,NA,TH,E236,D155,Bab,7,1,0,25,0,26,BAB2,7,0.16,69984,437400,0,0,0,0,NA
E989,1,1,174,2015,1800,A,31,11,135,1,0,NA,NA,TH,E882,D642,Bab,0,0,0,2,0,2,BAB,0,0.03,27,900,0,0,0,0,NA
E990,1,2,174,2015,1830,A,-30,34,130,1,0,NA,NA,TH,E296,E703,Bab,1,1,0,1,0,2,BAB,1,0.08,1323,16538,1,13,0,0,NA
E991,1,2,174,2015,1830,A,-30,34,120,1,0,NA,NA,TH,E296,D642,Bab,1,0,0,0,0,0,BAB,1,0.02,1284,64200,0,0,0,0,NA
E992,1,1,174,2015,1813,A,100,104,90,1,0,NA,NA,TB,D012,E325,Bab,0,4,0,1,0,5,BAB,0,0.02,25,1250,0,0,0,0,NA
E993,1,1,174,2015,1813,A,100,104,95,1,0,NA,NA,TB,D012,E703,Bab,0,2,0,15,0,17,BAB,0,0.02,0,0,0,0,0,0,NA
E994,1,2,175,2015,1130,A,31,11,110,1,0,NA,NA,TH,E882,D642,Bab,2,1,0,3,0,4,BAB,2,0.02,0,0,0,0,0,0,NA
E995,1,2,175,2015,1130,A,31,11,120,1,0,NA,NA,TH,E882,D642,Bab,2,0,0,16,0,16,BAB,2,0.18,396,2200,0,0,0,0,NA
E996,1,1,175,2015,1432,A,-30,34,140,1,0,NA,NA,TH,E296,D642,Bab,2,0,0,8,0,8,BAB,2,0.1,0,0,0,0,0,0,NA
E997,1,1,175,2015,1551,A,75,104,100,1,0,NA,NA,TB,D131,E325,Bab,0,9,0,12,0,21,BAB,1,0.01,121,12100,0,0,0,0,NA
E998,1,2,175,2015,1551,A,75,104,105,1,0,NA,NA,TB,D131,D361,Bab,0,7,0,2,0,9,BAB,1,0.04,3612,90300,0,0,0,0,NA
F501,1,1,175,2015,1551,A,75,104,110,1,0,NA,NA,TB,D131,E325,Bab,0,19,0,3,0,22,BAB,1,0.03,1650,55000,0,0,0,0,NA
F502,1,2,175,2015,1631,A,100,104,80,1,0,NA,NA,TB,D012,E325,Bab,1,0,0,2,0,2,BAB,1,0.02,173,8650,0,0,0,0,NA
F503,1,2,176,2015,1245,A,119,91,85,1,0,NA,NA,TB,7958,D361,Bab,1,0,0,6,0,6,BAB,1,0.02,85,4250,0,0,0,0,NA
F504,1,2,176,2015,1243,A,280,48,155,1,0,NA,NA,TH,E831,D381,Bab,3,3,0,100,0,103,BAB,3,0.22,1248,5673,0,0,0,0,NA
F505,1,1,176,2015,1309,A,68,58,155,1,0,NA,NA,TB,D648,D361,Bab,0,4,0,0,0,4,BAB,0,0.02,1,50,0,0,0,0,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
